,#verse,Translation
0,1.1:,"Dhrtarastra said: O Sanjaya, after my sons and the sons of Pandu assembled in the place of pilgrimage at Kuruksetra, desiring to fight, what did they do?"
1,1.2:,"Sanjaya said: O King, after looking over the army arranged in military formation by the sons of Pandu, King Duryodhana went to his teacher and spoke the following words."
2,1.3:,"O my teacher, behold the great army of the sons of Pandu, so expertly arranged by your intelligent disciple the son of Drupada."
3,1.4:,"Here in this army are many heroic bowmen equal in fighting to Bhima and Arjuna: great fighters like Yuyudhana, Virata and Drupada."
4,1.5:,"There are also great heroic, powerful fighters like Dhrstaketu, Cekitana, Kasiraja, Purujit, Kuntibhoja and Saibya."
5,1.6:,"There are the mighty Yudhamanyu, the very powerful Uttamauja, the son of Subhadra and the sons of Draupadi. All these warriors are great chariot fighters."
6,1.7:,"But for your information, O best of the brahmanas, let me tell you about the captains who are especially qualified to lead my military force."
7,1.8:,"There are personalities like you, Bhisma, Karna, Krpa, Asvatthama, Vikarna and the son of Somadatta called Bhurisrava, who are always victorious in battle."
8,1.9:,"There are many other heroes who are prepared to lay down their lives for my sake. All of them are well equipped with different kinds of weapons, and all are experienced in military science."
9,1.10:,"Our strength is immeasurable, and we are perfectly protected by Grandfather Bhisma, whereas the strength of the Pandavas, carefully protected by Bhima, is limited."
10,1.11:,"All of you must now give full support to Grandfather Bhisma, as you stand at your respective strategic points of entrance into the phalanx of the army."
11,1.12:,"Then Bhisma, the great valiant grandsire of the Kuru dynasty, the grandfather of the fighters, blew his conchshell very loudly, making a sound like the roar of a lion, giving Duryodhana joy."
12,1.13:,"After that, the conchshells, drums, bugles, trumpets and horns were all suddenly sounded, and the combined sound was tumultuous."
13,1.14:,"On the other side, both Lord Krsna and Arjuna, stationed on a great chariot drawn by white horses, sounded their transcendental conchshells."
14,1.15:,"Lord Krsna blew His conchshell, called Pancajanya; Arjuna blew his, the Devadatta; and Bhima, the voracious eater and performer of herculean tasks, blew his terrific conchshell, called Paundra."
15,1.16-18:,"King Yudhisthira, the son of Kunti, blew his conchshell, the Ananta-vijaya, and Nakula and Sahadeva blew the Sughosa and Manipuspaka. That great archer the King of Kasi, the great fighter Sikhandi, Dhrstadyumna, Virata, the unconquerable Satyaki, Drupada, the sons of Draupadi, and others, O King, such as the mighty-armed son of Subhadra, all blew their respective conchshells."
16,1.19:,"The blowing of these different conchshells became uproarious. Vibrating both in the sky and on the earth, it shattered the hearts of the sons of Dhrtarastra."
17,1.20:,"At that time Arjuna, the son of Pandu, seated in the chariot bearing the flag marked with Hanuman, took up his bow and prepared to shoot his arrows. O King, after looking at the sons of Dhrtarastra drawn in military array, Arjuna then spoke to Lord Krsna these words."
18,1.21-22:,"Arjuna said: O infallible one, please draw my chariot between the two armies so that I may see those present here, who desire to fight, and with whom I must contend in this great trial of arms."
19,1.23:,"Let me see those who have come here to fight, wishing to please the evil-minded son of Dhrtarastra."
20,1.24:,"Sanjaya said: O descendant of Bharata, having thus been addressed by Arjuna, Lord Krsna drew up the fine chariot in the midst of the armies of both parties."
21,1.25:,"In the presence of Bhisma, Drona and all the other chieftains of the world, the Lord said, ""Just behold, Partha, all the Kurus assembled here."""
22,1.26:,"There Arjuna could see, within the midst of the armies of both parties, his fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, friends, and also his fathers-in-law and well-wishers."
23,1.27:,"When the son of Kunti, Arjuna, saw all these different grades of friends and relatives, he became overwhelmed with compassion and spoke thus."
24,1.28:,"Arjuna said: My dear Krsna, seeing my friends and relatives present before me in such a fighting spirit, I feel the limbs of my body quivering and my mouth drying up."
25,1.29:,"My whole body is trembling, my hair is standing on end, my bow Gandiva is slipping from my hand, and my skin is burning."
26,1.30:,"I am now unable to stand here any longer. I am forgetting myself, and my mind is reeling. I see only causes of misfortune, O Krsna, killer of the Kesi demon."
27,1.31:,"I do not see how any good can come from killing my own kinsmen in this battle, nor can I, my dear Krsna, desire any subsequent victory, kingdom or happiness."
28,1.32-35:,"O Govinda, of what avail to us are a kingdom, happiness or even life itself when all those for whom we may desire them are now arrayed on this battlefield? O Madhusudana, when teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are ready to give up their lives and properties and are standing before me, why should I wish to kill them, even though they might otherwise kill me? O maintainer of all living entities, I am not prepared to fight with them even in exchange for the three worlds, let alone this earth. What pleasure will we derive from killing the sons of Dhrtarastra?"
29,1.36:,"Sin will overcome us if we slay such aggressors. Therefore it is not proper for us to kill the sons of Dhrtarastra and our friends. What should we gain, O Krsna, husband of the goddess of fortune, and how could we be happy by killing our own kinsmen?"
30,1.37-38:,"O Janardana, although these men, their hearts overtaken by greed, see no fault in killing one's family or quarreling with friends, why should we, who can see the crime in destroying a family, engage in these acts of sin?"
31,1.39:,"With the destruction of the dynasty, the eternal family tradition is vanquished, and thus the rest of the family becomes involved in irreligion."
32,1.40:,"When irreligion is prominent in the family, O Krsna, the women of the family become polluted, and from the degradation of womanhood, O descendant of Vrsni, comes unwanted progeny."
33,1.41:,"An increase of unwanted population certainly causes hellish life both for the family and for those who destroy the family tradition. The ancestors of such corrupt families fall down, because the performances for offering them food and water are entirely stopped."
34,1.42:,"By the evil deeds of those who destroy the family tradition and thus give rise to unwanted children, all kinds of community projects and family welfare activities are devastated."
35,1.43:,"O Krsna, maintainer of the people, I have heard by disciplic succession that those whose family traditions are destroyed dwell always in hell."
36,1.44:,"Alas, how strange it is that we are preparing to commit greatly sinful acts. Driven by the desire to enjoy royal happiness, we are intent on killing our own kinsmen."
37,1.45:,"Better for me if the sons of Dhrtarastra, weapons in hand, were to kill me unarmed and unresisting on the battlefield."
38,1.46:,"Sanjaya said: Arjuna, having thus spoken on the battlefield, cast aside his bow and arrows and sat down on the chariot, his mind overwhelmed with grief."
39,2.1:,"Sanjaya said: Seeing Arjuna full of compassion, his mind depressed, his eyes full of tears, Madhusudana, Krsna, spoke the following words."
40,2.2:,"The Supreme Personality of Godhead said: My dear Arjuna, how have these impurities come upon you? They are not at all befitting a man who knows the value of life. They lead not to higher planets but to infamy."
41,2.3:,"O son of Prtha, do not yield to this degrading impotence. It does not become you. Give up such petty weakness of heart and arise, O chastiser of the enemy."
42,2.4:,"Arjuna said: O killer of enemies, O killer of Madhu, how can I counterattack with arrows in battle men like Bhisma and Drona, who are worthy of my worship?"
43,2.5:,"It would be better to live in this world by begging than to live at the cost of the lives of great souls who are my teachers. Even though desiring worldly gain, they are superiors. If they are killed, everything we enjoy will be tainted with blood."
44,2.6:,"Nor do we know which is better - conquering them or being conquered by them. If we killed the sons of Dhrtarastra, we should not care to live. Yet they are now standing before us on the battlefield."
45,2.7:,"Now I am confused about my duty and have lost all composure because of miserly weakness. In this condition I am asking You to tell me for certain what is best for me. Now I am Your disciple, and a soul surrendered unto You. Please instruct me."
46,2.8:,"I can find no means to drive away this grief which is drying up my senses. I will not be able to dispel it even if I win a prosperous, unrivaled kingdom on earth with sovereignty like the demigods in heaven."
47,2.9:,"Sanjaya said: Having spoken thus, Arjuna, chastiser of enemies, told Krsna, ""Govinda, I shall not fight,"" and fell silent."
48,2.10:,"O descendant of Bharata, at that time Krsna, smiling, in the midst of both the armies, spoke the following words to the grief-stricken Arjuna."
49,2.11:,"The Supreme Personality of Godhead said: While speaking learned words, you are mourning for what is not worthy of grief. Those who are wise lament neither for the living nor for the dead."
50,2.12:,"Never was there a time when I did not exist, nor you, nor all these kings; nor in the future shall any of us cease to be."
51,2.13:,"As the embodied soul continuously passes, in this body, from boyhood to youth to old age, the soul similarly passes into another body at death. A sober person is not bewildered by such a change."
52,2.14:,"O son of Kunti, the nonpermanent appearance of happiness and distress, and their disappearance in due course, are like the appearance and disappearance of winter and summer seasons. They arise from sense perception, O scion of Bharata, and one must learn to tolerate them without being disturbed."
53,2.15:,"O best among men [Arjuna], the person who is not disturbed by happiness and distress and is steady in both is certainly eligible for liberation."
54,2.16:,Those who are seers of the truth have concluded that of the nonexistent [the material body] there is no endurance and of the eternal [the soul] there is no change. This they have concluded by studying the nature of both.
55,2.17:,That which pervades the entire body you should know to be indestructible. No one is able to destroy that imperishable soul.
56,2.18:,"The material body of the indestructible, immeasurable and eternal living entity is sure to come to an end; therefore, fight, O descendant of Bharata."
57,2.19:,"Neither he who thinks the living entity the slayer nor he who thinks it slain is in knowledge, for the self slays not nor is slain."
